"P" "V" "n" "T"
"s681" 1.21 9.01 22.1 6.01
"s682" 1.87 2.19 36.7 1.36
"s683" 1.25 5.76 1.31 67.1
"s684" 2.83 16.7 64.2 9.01
"s685" 2.45 19.5 1.01 576
"s686" 3.42 16.4 17.2 39.6
"s687" 2.5 17.3 12.6 41.7
"s688" 3.74 19.1 24.2 36
"s689" 4.83 2.61 61.7 2.5
"s690" 4.15 9.88 23.2 21.6
"s691" 1.69 1.76 41.7 0.871
"s692" 2.09 2.24 20.6 2.78
"s693" 4.96 18.6 68.7 16.4
"s694" 0.155 1.39 36.5 0.0718
"s695" 4.75 2.7 60 2.61
"s696" 2.17 10.8 74.7 3.83
"s697" 1.74 13 4.35 63.2
"s698" 0.622 9.49 53.5 1.34
"s699" 4.23 8.22 57.2 7.41
"s700" 4.44 13.4 19.3 37.5
"s701" 3.34 2.41 14.9 6.58
"s702" 4.92 19.1 72.6 15.8
"s703" 2.02 3.26 17.8 4.52
"s704" 3.43 14.4 22.4 27
"s705" 0.684 17.3 11.4 12.6
"s706" 3.72 4.84 27.7 7.92
"s707" 4.08 13.3 9.43 70.1
"s708" 3.16 11.3 31 14
"s709" 3.9 18.9 34.1 26.3
"s710" 0.119 19.1 54.3 0.51
"s711" 4.69 11.2 25.4 25.3
"s712" 1.13 16.7 8.34 27.6
"s713" 2.61 6.21 65.6 3.02
"s714" 2.8 19.9 53.6 12.7
"s715" 3.12 15.9 42.9 14.1
"s716" 2.08 2.29 39.9 1.46
"s717" 1.25 15.8 6.84 35.2
"s718" 4.09 7.38 16.6 22.1
"s719" 1.63 13.8 47 5.82
"s720" 1.53 3.05 67.1 0.844
"s721" 0.292 11.8 53.1 0.794
"s722" 4.39 15.7 51.5 16.3
"s723" 2.07 5.14 10.7 12.1
"s724" 4.42 15.2 1.06 776
"s725" 3.04 16.6 26.3 23.4
"s726" 3.08 11.5 0.362 1190
"s727" 4.14 1.72 9.78 8.88
"s728" 1.41 4.77 49.3 1.66
"s729" 3.01 7.92 54.7 5.31
"s730" 1.34 17.2 33 8.56
"s731" 0.291 19.8 15.1 4.65
"s732" 1.25 13.4 56.6 3.61
"s733" 4.19 15.9 53.9 15.1
"s734" 0.149 10.6 26 0.74
"s735" 1.26 1.38 17.1 1.24
"s736" 3.6 17.1 56.4 13.3
"s737" 3.47 19.4 33.4 24.5
"s738" 3.35 14.1 48.8 11.8
"s739" 0.409 2.19 49.3 0.221
"s740" 2.27 19.5 6.83 79.2
"s741" 4.11 10.6 9 59.1
"s742" 1.58 9.76 31.3 6.01
"s743" 3.57 16.3 31.1 22.8
"s744" 2.55 10.6 43 7.66
"s745" 0.558 2.16 60.5 0.243
"s746" 4.18 7.84 8.13 49.1
"s747" 4.07 19.5 1.62 598
"s748" 0.699 13.7 37.7 3.09
"s749" 4.96 4.85 52.8 5.56
"s750" 3.8 7.92 34.1 10.7
"s751" 2.64 10.7 21.8 15.7
"s752" 4.09 6.49 68.5 4.72
"s753" 2.49 17.6 29.4 18.1
"s754" 4.19 9.19 37.4 12.5
"s755" 0.799 16.2 25.9 6.08
"s756" 1.85 5.04 12 9.51
"s757" 2.58 5.34 46.2 3.63
"s758" 3.73 7.68 16.9 20.7
"s759" 2.18 10.8 35.8 7.99
"s760" 2.35 16 50.4 9.11
"s761" 2.89 1.16 24.1 1.7
"s762" 1.57 9.94 29.7 6.38
"s763" 3.39 1.89 33.1 2.36
"s764" 2.03 16.2 57.1 7
"s765" 0.452 12.4 71.8 0.953
"s766" 4.72 1.95 40.2 2.79
"s767" 2.32 1.74 72.7 0.677
"s768" 4.48 12.9 54.9 12.8
"s769" 2.28 18.3 9.92 51.4
"s770" 3.14 9.71 29.3 12.7
"s771" 4.79 11.5 18.4 36.6
"s772" 3.76 11.6 53.2 10
"s773" 4.05 9.75 3.43 140
"s774" 3.22 9.41 5.86 63.2
"s775" 1.45 7 30.2 4.09
"s776" 4.97 1.87 25.3 4.47
"s777" 1.12 17.3 39.6 5.95
"s778" 0.757 18.4 72.9 2.33
"s779" 2.65 1.32 59.2 0.721
"s780" 3.54 13.2 23.3 24.5
"s781" 3.83 3.53 39.1 4.21
"s782" 0.297 16.9 51.7 1.19
"s783" 1.24 16.8 50.5 5.03
"s784" 1.92 4.75 21.7 5.13
"s785" 3.57 11.4 16.3 30.4
"s786" 4.73 8.43 74.8 6.51
"s787" 1.59 10.4 71.5 2.81
"s788" 1.87 7.43 68.2 2.49
"s789" 0.63 13.9 64.9 1.65
"s790" 3.07 7.16 35.4 7.57
"s791" 4.52 13.4 6.04 122
"s792" 4.52 15.5 35.6 23.9
"s793" 4.7 12 72 9.57
"s794" 3.41 10.9 64.6 7.01
"s795" 1.3 19.1 42.9 7.07
"s796" 1.42 10.7 14 13.2
"s797" 4.19 1.72 4.29 20.5
"s798" 3.25 14.1 40 13.9
"s799" 1.51 7.87 9.3 15.6
"s800" 1.43 16.4 47.9 5.98
"s801" 1.76 1.12 25.7 0.935
"s802" 1.58 6.31 16.9 7.16
"s803" 1.25 10.6 74.8 2.15
"s804" 0.155 4.63 26.1 0.336
"s805" 0.79 17.2 37.1 4.46
"s806" 0.75 7.51 34.9 1.97
"s807" 3.67 9.1 25.7 15.8
"s808" 1.59 15.4 34.5 8.6
"s809" 3.86 10.1 47.4 10
"s810" 1.03 11.4 33.9 4.19
"s811" 4.56 5.47 29.3 10.4
"s812" 2.48 2.71 5.23 15.7
"s813" 1.06 1.1 61.5 0.23
"s814" 1.24 7.43 59.2 1.89
"s815" 3.69 3.83 63.2 2.73
"s816" 2.15 15 50.5 7.76
"s817" 0.786 17.7 20.9 8.1
"s818" 1.66 8.8 10.7 16.6
"s819" 1.88 5.6 45 2.85
"s820" 3.33 19.8 16.1 50.1
"s821" 2.64 14.8 44.5 10.7
"s822" 0.823 18.1 62.9 2.88
"s823" 4.82 15.9 25.9 36
"s824" 3.49 12.4 72 7.29
"s825" 4.39 2.5 30.3 4.43
"s826" 2.12 19 67.6 7.24
"s827" 1.48 4.39 19.6 4.06
"s828" 1.49 16 22.3 13
"s829" 3.78 7.86 74.4 4.87
"s830" 0.855 14.3 18.9 7.9
"s831" 4.7 6.99 26 15.4
"s832" 0.348 14.7 31.7 1.96
"s833" 3.1 19.9 56.4 13.3
"s834" 2.1 15.8 19.2 21.2
"s835" 0.438 7.97 38.2 1.11
"s836" 4.43 15 59.4 13.7
"s837" 0.388 11.5 13.9 3.91
"s838" 1.2 19.6 7.33 39
"s839" 3.26 11.1 30.4 14.5
"s840" 4.73 18.6 10.9 98.7
"s841" 4.22 10.2 40.1 13
"s842" 2.99 4.18 20.8 7.33
"s843" 1.15 9.26 62.9 2.06
"s844" 1.5 2.31 45.9 0.919
"s845" 0.863 3.04 68.2 0.469
"s846" 1.28 7.63 61 1.96
"s847" 4.17 16.5 27.3 30.7
"s848" 0.51 4.19 13.7 1.91
"s849" 4.17 19.5 16.9 58.6
"s850" 0.706 3.39 45.2 0.645
"s851" 4.65 13.8 6.81 115
"s852" 3.11 19.8 6.09 123
"s853" 1.07 15.4 32.6 6.17
"s854" 4.04 18.9 57 16.4
"s855" 0.695 19.1 71.1 2.27
"s856" 3.14 12 36.3 12.6
"s857" 0.377 13.9 29.9 2.14
"s858" 0.349 18.6 19.9 3.98
"s859" 3.1 2.08 63.5 1.24
"s860" 4.38 15.2 71.7 11.3
"s861" 4.71 14.8 70.6 12.1
"s862" 3.66 4.99 46.1 4.82
"s863" 0.568 14.8 60.8 1.69
"s864" 3.43 16.9 12.6 55.9
"s865" 2.74 5.82 12.4 15.6
"s866" 4.96 9.77 12.9 45.7
"s867" 4.05 2.24 30.6 3.61
"s868" 4.22 14.5 14.9 50.2
"s869" 2.53 18.6 17.3 33.3
"s870" 2.71 1.36 24.9 1.81
"s871" 4.98 11.5 49.7 14
"s872" 4.28 3.43 27.1 6.59
"s873" 0.991 5.88 15.6 4.56
"s874" 4.39 1.13 4.6 13.1
"s875" 1.13 14.9 0.479 429
"s876" 4.57 17.6 12.3 79.4
"s877" 4.13 14.7 38.8 19.1
"s878" 1.12 10.5 11.3 12.6
"s879" 1.98 10.4 30.7 8.13
"s880" 0.31 8.39 4.58 6.91
"s881" 0.991 18 45.8 4.76
"s882" 4.55 15.2 62.2 13.6
"s883" 2.4 2.08 67.1 0.905
"s884" 1.34 16.8 57.4 4.77
"s885" 0.976 13.9 57.4 2.89
"s886" 3.65 6.32 39.8 7.07
"s887" 0.463 17.9 22.9 4.41
"s888" 0.45 4.68 47.6 0.539
"s889" 3.6 3.65 48.4 3.31
"s890" 2.22 13.7 74.9 4.96
"s891" 0.755 6.74 46.7 1.33
"s892" 1.32 8.52 53.4 2.56
"s893" 1.16 5.86 51.3 1.61
"s894" 2.71 15.7 38.6 13.4
"s895" 3.66 5.32 48.1 4.94
"s896" 4.01 7.38 11 33
"s897" 4.72 2.49 73.8 1.94
"s898" 1.16 18.2 70.9 3.61
"s899" 4.42 13.1 34.8 20.3
"s900" 1.8 12.1 8.52 31.2
"s901" 2.94 13.9 24.2 20.6
"s902" 0.336 11.4 41.9 1.12
"s903" 4.07 15.8 3.98 197
"s904" 0.457 11.1 17.9 3.45
"s905" 3.37 5.01 71.3 2.89
"s906" 3.94 9.05 31.1 14
"s907" 4.43 10.6 46.3 12.3
"s908" 0.42 4.06 47.4 0.438
"s909" 4.57 5.54 4.08 75.7
"s910" 3.04 6.62 35.1 6.97
"s911" 0.978 13.9 4.46 37.1
"s912" 4.74 5.72 54 6.12
"s913" 3.31 15.3 69.1 8.92
"s914" 4.48 3.27 7.71 23.1
"s915" 4.31 5.86 2.86 108
"s916" 2.57 4.71 44.9 3.29
"s917" 0.368 16.5 59.5 1.24
"s918" 4.41 17.8 60 15.9
"s919" 3.97 18.8 45.7 19.9
"s920" 2.59 17.6 54.7 10.1
"s921" 1.34 11.1 57.6 3.14
"s922" 4.34 13.1 39.8 17.3
"s923" 1.15 7.69 22.8 4.71
"s924" 1.68 17.2 55.1 6.4
"s925" 1.39 14.8 17.7 14.2
"s926" 1.42 19.3 17.1 19.6
"s927" 4.36 16.8 68.6 13
"s928" 0.459 18.5 23.9 4.33
"s929" 0.92 14.8 22.7 7.33
"s930" 1.76 6.38 29.8 4.6
"s931" 1.86 11 32.7 7.6
"s932" 4.42 6.38 70 4.91
"s933" 4.17 1.07 49.3 1.1
"s934" 4.71 13.6 60.7 12.9
"s935" 2.24 19.1 33.3 15.7
"s936" 0.549 3.69 49.4 0.5
"s937" 4.78 5.58 12.5 26.1
"s938" 1.32 12.2 11.4 17.2
"s939" 1.09 7.75 28 3.69
"s940" 4.34 12 23.2 27.5
"s941" 2.4 5.55 26.4 6.13
"s942" 1.6 6.94 68.8 1.96
"s943" 4.51 12.1 69.9 9.55
"s944" 2.31 12.5 12.7 27.8
"s945" 3.3 18.3 19.8 37.2
"s946" 1.38 4.18 69.1 1.02
"s947" 0.301 4.64 64.4 0.264
"s948" 4.5 9.85 18.5 29.2
"s949" 1.51 11 27.1 7.45
"s950" 4.22 2.18 10.5 10.6
"s951" 2.01 2.31 17.4 3.23
"s952" 1.44 15.9 50.7 5.51
"s953" 0.824 7.44 18.6 4.02
"s954" 0.98 17.8 10.7 19.9
"s955" 4.77 5.58 36.9 8.82
"s956" 3.87 6.43 5.72 53.1
"s957" 2.11 1.49 2.25 17
"s958" 3.65 15.2 20.1 33.7
"s959" 4.8 8.44 64.6 7.64
"s960" 0.719 7.88 50.8 1.36
"s961" 0.194 3.19 48.8 0.154
"s962" 4.89 6.53 45.1 8.64
"s963" 0.533 1.12 33 0.221
"s964" 3.45 2.83 64.6 1.84
"s965" 4.93 8.08 61.1 7.95
"s966" 2.75 18.9 31.3 20.3
"s967" 3.35 5.27 59 3.64
"s968" 0.469 16.1 36.9 2.49
"s969" 0.495 15 14.1 6.39
"s970" 4.2 14.4 16.4 44.9
"s971" 4.91 12.9 55.2 14
"s972" 1.14 14.6 58.6 3.46
"s973" 1.39 7.55 11.1 11.6
"s974" 0.213 6.79 53 0.333
"s975" 2.46 19 17.8 32
"s976" 0.87 5.76 49.5 1.24
"s977" 3.47 8.38 15.1 23.4
"s978" 1.8 2.99 24.8 2.64
"s979" 1.16 3.57 68.3 0.742
"s980" 4.73 16.4 70.1 13.5
"s981" 1.99 11.5 54.5 5.13
"s982" 3.39 12.7 7.72 68.1
"s983" 1.49 5.15 52.5 1.78
"s984" 2.94 3.33 17.4 6.87
"s985" 0.74 2.52 53.8 0.423
"s986" 4.79 8.03 14.6 32
"s987" 4.67 4.57 16 16.3
"s988" 1.28 7.25 22.2 5.11
"s989" 4.68 5.24 24.4 12.3
"s990" 2.13 17.9 31.5 14.7
"s991" 4.65 9.27 61.4 8.55
"s992" 1.38 8.4 10.1 14
"s993" 0.756 19.3 41.2 4.32
"s994" 1.43 17.1 57 5.23
"s995" 2.34 11.2 70.8 4.53
"s996" 1.77 17.9 4.31 90
"s997" 0.829 1.68 2.33 7.3
"s998" 3.02 15.3 1.87 302
"s999" 3.87 1.39 18.2 3.58
"s1000" 4.99 13.9 68.8 12.2
"s1001" 0.311 5.79 21.7 1.01
"s1002" 4.88 7.39 25.9 17
"s1003" 1.98 20 55.2 8.74
"s1004" 2.32 8.2 12.7 18.3
"s1005" 1.33 10.7 45.8 3.78
"s1006" 4.13 19.2 26.4 36.7
"s1007" 4.39 13.3 60.1 11.9
"s1008" 1.98 7.54 51.9 3.51
"s1009" 0.503 19.6 72.6 1.65
"s1010" 0.702 14.8 53.1 2.39
"s1011" 1.2 1.28 53.5 0.349
"s1012" 4.4 3.66 69.5 2.83
"s1013" 3.64 16 21.5 33.1
"s1014" 4.84 1.3 48.9 1.56
"s1015" 2.29 14.4 14.8 27.3
"s1016" 4.78 1.86 19.9 5.43
"s1017" 4.8 16.6 19.8 49
"s1018" 2.29 14.7 45.1 9.09
"s1019" 2.52 13.9 23.9 17.9
"s1020" 2.79 7.38 21.8 11.5
"s1021" 2.83 4.37 0.503 300
"s1022" 2.62 2.07 8.57 7.69
"s1023" 0.119 18.8 20.5 1.33
"s1024" 3.59 19.3 61.2 13.8
"s1025" 3.62 7.54 69.5 4.78
"s1026" 3.5 3.44 45.6 3.22
"s1027" 2.49 10.4 65.9 4.77
"s1028" 4.36 16.3 32.9 26.4
"s1029" 1.61 4.8 26.9 3.51
"s1030" 4.4 16.3 62.2 14.1
"s1031" 4.97 6.39 41.4 9.35
"s1032" 1.62 11.8 28.3 8.25
"s1033" 3.76 18.2 14.2 58.6
"s1034" 0.846 2.73 20.7 1.36
"s1035" 4.25 2.47 15.5 8.26
"s1036" 1.35 15.2 3.79 65.6
"s1037" 4.88 18.3 72.2 15.1
"s1038" 3.59 14 64.5 9.52
"s1039" 0.71 15.6 18.5 7.3
"s1040" 3.77 16.4 71.9 10.5
"s1041" 1.51 8.02 71.2 2.07
"s1042" 3.05 14.5 69 7.81
"s1043" 4.57 13.3 40.1 18.5
"s1044" 4.73 12.3 40.1 17.7
"s1045" 1.29 5.2 64.7 1.26
"s1046" 4.16 12 49.8 12.2
"s1047" 3.7 2.12 6.44 14.8
"s1048" 3.79 12.9 16 37.2
"s1049" 0.984 10.2 45.8 2.66
"s1050" 0.819 19.7 46.4 4.24
"s1051" 2.45 9.68 4.09 70.6
"s1052" 0.557 6.41 12.2 3.58
"s1053" 1.4 16.7 5.17 55.2
"s1054" 0.271 16 71.1 0.746
"s1055" 0.89 18.7 5.43 37.2
"s1056" 3.97 11.9 35.3 16.3
"s1057" 4.12 7.73 35.9 10.8
"s1058" 0.573 6.94 46.9 1.03
"s1059" 3.84 5.92 38.4 7.21
"s1060" 3.62 9.65 10.1 42
"s1061" 1.18 2.6 11.9 3.14
"s1062" 4.07 2.37 53.6 2.19
"s1063" 2.32 11.4 67.8 4.75
"s1064" 1.63 5.84 25.9 4.48
"s1065" 0.798 8.95 32 2.72
"s1066" 1.96 11.5 56 4.89
"s1067" 4.83 13 20.8 36.9
"s1068" 3.24 1.9 13.8 5.45
"s1069" 1.66 10.1 43.8 4.66
"s1070" 0.262 2.91 32.8 0.283
"s1071" 1.61 16.4 66.8 4.83
"s1072" 1.06 13 54.4 3.08
"s1073" 4.95 12.4 43.3 17.3
"s1074" 2.9 5.46 33.4 5.78
"s1075" 1.21 9.39 60.6 2.29
"s1076" 0.5 5.95 39.3 0.924
"s1077" 4.71 8.24 65.6 7.21
"s1078" 3.1 3.12 44.9 2.63
"s1079" 4.32 12.8 43.8 15.4
"s1080" 0.303 11.9 62.8 0.698
"s1081" 2.46 10.5 46.3 6.81
"s1082" 4.97 3.57 32.1 6.74
"s1083" 0.523 11.5 28 2.62
"s1084" 1.32 3.14 73.6 0.687
"s1085" 1.39 19.9 45.4 7.41
"s1086" 1.17 11.4 44.3 3.68
"s1087" 1.88 12.7 11.3 25.8
"s1088" 0.787 3.07 64.9 0.453
"s1089" 0.267 3.89 50.2 0.252
"s1090" 2.48 3.01 47 1.94
"s1091" 3.89 4.41 2.88 72.4
"s1092" 3.66 11.3 47.2 10.6
"s1093" 3.78 18.2 36 23.3
"s1094" 1.24 19.3 5.43 53.8
"s1095" 2.16 5.5 47.1 3.08
"s1096" 2.92 6.98 27.4 9.05
"s1097" 3.58 18.8 35.7 22.9
"s1098" 0.644 8.16 30.9 2.08
"s1099" 1.59 6.49 22.5 5.57
"s1100" 2.5 4.09 60.3 2.06
"s1101" 4.24 13.8 35.2 20.3
"s1102" 1.32 12.2 0.328 600
"s1103" 1.58 4.16 56 1.43
"s1104" 3.73 1.39 61.3 1.03
"s1105" 2.26 9.98 32 8.57
"s1106" 2.93 12 15 28.6
"s1107" 0.869 14 3.43 43.1
"s1108" 4.33 11.2 34.2 17.3
"s1109" 1.77 16.3 41.7 8.45
"s1110" 4.06 7.12 48.8 7.21
"s1111" 4.6 2.19 1.34 91.6
"s1112" 3.72 14.5 44.2 14.9
"s1113" 2.73 10.4 2.4 144
"s1114" 2.82 10.3 9.71 36.4
"s1115" 4.93 8.09 33.7 14.4
"s1116" 3.24 12.7 40.1 12.5
"s1117" 4.69 14.7 13.6 61.8
"s1118" 2.06 16.2 46.3 8.79
"s1119" 3.41 5.36 57.1 3.9
"s1120" 3.89 18.1 26 33
"s1121" 4.68 2.09 25.6 4.65
"s1122" 0.645 8.7 33.4 2.05
"s1123" 3.56 17 35.4 20.8
"s1124" 2.19 7.85 36 5.83
"s1125" 1.24 12.3 65.2 2.85
"s1126" 2.96 9.98 10.2 35.4
"s1127" 0.291 5.27 4.85 3.86
"s1128" 3.62 7 16.6 18.6
"s1129" 3.83 18 16.1 52
"s1130" 2.27 5.74 65.5 2.43
"s1131" 3.2 8.53 23.1 14.4
"s1132" 1.59 17.5 63 5.4
"s1133" 4.7 10.2 51.4 11.3
"s1134" 4.04 14.1 57.5 12.1
"s1135" 4.7 19.8 37.1 30.5
"s1136" 4.6 1.58 13 6.8
"s1137" 4.21 8.5 25.2 17.3
"s1138" 2.64 5.46 67.8 2.59
"s1139" 4.66 5.77 10.4 31.5
"s1140" 3.37 3.85 66 2.4
"s1141" 3.18 11.9 72.3 6.36
"s1142" 4.77 18.8 36.3 30
"s1143" 3.43 7.77 10 32.4
"s1144" 0.354 1.45 24.1 0.259
"s1145" 2.86 11.4 27.5 14.4
"s1146" 2.04 8.16 13.1 15.5
"s1147" 2.03 5.03 47.8 2.6
"s1148" 1.7 2.89 45.8 1.31
"s1149" 4.6 8.75 14.4 34
"s1150" 3.79 1.94 52.7 1.7
"s1151" 2.86 10.7 27.9 13.3
"s1152" 2.99 5.95 61.1 3.55
"s1153" 2.05 8.66 52.1 4.16
"s1154" 0.185 15.5 60 0.584
"s1155" 2.79 17.1 72.7 8.03
"s1156" 2.05 6.3 17.7 8.88
"s1157" 1.74 6.3 50.7 2.64
"s1158" 3.71 8.87 43.8 9.16
"s1159" 0.553 14.2 71.5 1.33
"s1160" 4.56 3.72 71 2.91
"s1161" 4.89 1.56 13.9 6.67
"s1162" 4.35 19.2 48.2 21.1
"s1163" 4.68 12.9 70.1 10.5
"s1164" 4.29 7.54 70.3 5.6
"s1165" 1.14 6.7 50.9 1.83
"s1166" 0.185 9.02 4.71 4.32
"s1167" 2.78 13.2 29.5 15.2
"s1168" 1.66 3.04 74.2 0.829
"s1169" 1.41 14 59.9 4.02
"s1170" 3.51 16.6 17.7 40
"s1171" 2.44 5.58 28.5 5.82
"s1172" 2.22 19.7 56.2 9.45
"s1173" 2.91 18.1 27.4 23.4
"s1174" 2.4 16.8 20.3 24.2
"s1175" 4.15 19.9 36 27.9
"s1176" 0.556 17.2 66.4 1.75
"s1177" 3.6 13.1 35.1 16.4
"s1178" 0.759 4.83 69.1 0.646
"s1179" 1.95 18.8 15.9 28
"s1180" 4.2 12.7 34.3 18.9
"s1181" 0.639 16.9 32.6 4.03
"s1182" 2.99 6.54 10.8 22.1
"s1183" 0.249 12.2 6.44 5.75
"s1184" 3.05 1.69 3.34 18.7
"s1185" 3.63 15.6 17.4 39.6
"s1186" 0.735 13.2 66.8 1.77
"s1187" 1.87 16.3 60.4 6.15
"s1188" 4.76 5.35 18.3 17
"s1189" 4.47 7.26 66.5 5.95
"s1190" 3.8 3.07 48.8 2.91
"s1191" 0.825 11.8 11.2 10.5
"s1192" 3.33 19.5 17.4 45.3
"s1193" 2.98 5.48 21.2 9.39
"s1194" 2.83 4.39 41.3 3.67
"s1195" 3.95 13.7 9.74 67.7
"s1196" 2.61 3.2 18.3 5.59
"s1197" 3.46 17.5 28.9 25.5
"s1198" 3.55 6.99 28.3 10.7
"s1199" 4.3 1.92 25.1 4.02
"s1200" 3.87 10.9 54.7 9.42
"s1201" 2.08 12.3 49.7 6.29
"s1202" 0.976 4.09 68.6 0.709
"s1203" 3.04 9.93 38.3 9.61
"s1204" 4.1 17.8 72.3 12.3
"s1205" 0.569 1.34 29.3 0.316
"s1206" 2.49 2.07 74.4 0.845
"s1207" 4.12 13.6 54.8 12.4
"s1208" 1.14 9.89 15.4 8.98
"s1209" 5 10.7 41.4 15.8
"s1210" 0.184 5.19 68.8 0.169
"s1211" 4.78 18.5 62.6 17.3
"s1212" 4.67 3.01 52.1 3.29
"s1213" 4.58 1.83 62 1.65
"s1214" 1.22 9.78 8.59 16.9
"s1215" 3.51 4.1 13 13.5
"s1216" 2.52 13.6 71.4 5.85
"s1217" 3.78 17.2 8.08 98.1
"s1218" 2.76 16.6 58.3 9.59
"s1219" 4.31 18.2 58.8 16.3
"s1220" 3.78 8.5 64 6.12
"s1221" 2.68 12.6 45.9 8.99
"s1222" 3.04 12.6 0.621 753
"s1223" 4.96 11.3 56.6 12.1
"s1224" 4.63 8.15 29.4 15.6
"s1225" 1.45 13.9 56.5 4.35
"s1226" 0.234 2.53 53 0.136
"s1227" 0.104 9.43 73.7 0.162
"s1228" 3.81 1.5 59.4 1.17
"s1229" 1.08 3.54 42.6 1.09
"s1230" 3.73 2.67 58.3 2.08
"s1231" 0.381 9.07 47 0.895
"s1232" 1.63 11.5 25.8 8.85
"s1233" 1.92 2.77 70.7 0.915
"s1234" 3.29 8.35 21.9 15.3
"s1235" 1.23 11.9 40.7 4.38
"s1236" 2.74 11.8 46 8.6
"s1237" 4.38 9.41 72.1 6.97
"s1238" 4.13 14.4 25.1 28.8
"s1239" 2.6 15.8 23.9 20.9
"s1240" 0.829 12.4 74.4 1.68
"s1241" 4.56 10.7 55.8 10.7
"s1242" 3.39 13.2 67.8 8.07
"s1243" 2.46 16.1 46.5 10.3
"s1244" 1.29 1.68 15 1.76
"s1245" 4.52 10.2 34.1 16.4
"s1246" 1.33 9.18 19.4 7.71
"s1247" 1.3 4.9 3.21 24.1
"s1248" 0.392 15.5 45.5 1.63
"s1249" 4.24 5.68 37.9 7.74
"s1250" 1.23 15.4 29.4 7.88
"s1251" 2.54 6.73 36.7 5.68
"s1252" 3.75 1.08 13.5 3.66
"s1253" 2.53 17.4 32.8 16.3
"s1254" 4.73 17 72.2 13.5
"s1255" 2.64 17.6 28.6 19.8
"s1256" 1.33 18.3 40.8 7.23
"s1257" 0.878 5.58 32.2 1.85
"s1258" 0.119 10.7 64.1 0.241
"s1259" 0.415 10.4 22.6 2.32
"s1260" 4.24 12.8 20 33
"s1261" 3.27 13.3 18 29.3
"s1262" 3.01 13.5 62.8 7.9
"s1263" 0.309 7.49 0.892 31.7
"s1264" 2.86 6.83 68.2 3.49
"s1265" 3.36 13.9 67.5 8.44
"s1266" 3.14 18.3 4.17 168
"s1267" 0.602 5.36 28.3 1.39
"s1268" 2.51 9.06 4.39 63.1
"s1269" 2.41 7.61 9.34 23.9
"s1270" 3.22 7.67 42.3 7.11
"s1271" 1.41 19.9 6.86 49.7
"s1272" 2.07 3 51.3 1.48
"s1273" 3.69 16.5 38.5 19.3
"s1274" 1.4 2.92 3.6 13.8
"s1275" 1.87 19.5 9.48 47
"s1276" 0.907 9.99 64.5 1.71
"s1277" 2.42 8.54 71.5 3.52
"s1278" 0.6 19.1 71.8 1.95
"s1279" 0.611 9.81 59.2 1.23
"s1280" 2.1 9.8 55.9 4.49
"s1281" 3.67 1.39 15.9 3.91
"s1282" 1.31 4.62 22.3 3.31
"s1283" 4.07 17.9 52.7 16.8
"s1284" 4.03 2.98 32.7 4.48
"s1285" 4.89 1.98 7.75 15.3
"s1286" 0.705 9.45 51.1 1.59
"s1287" 3.52 17 39.1 18.6
"s1288" 1.3 6.37 8.1 12.4
"s1289" 2.93 4.4 33 4.76
"s1290" 4.63 17.6 71.7 13.9
"s1291" 4.73 2.19 15.4 8.22
"s1292" 4.57 8.5 38.5 12.3
"s1293" 3.76 9.88 69.2 6.54
"s1294" 1.84 6.44 30.5 4.74
"s1295" 2.79 19.1 16.7 38.9
"s1296" 0.731 10.5 57.4 1.63
"s1297" 2.7 15.4 32.1 15.8
"s1298" 4.87 18.4 30.2 36.2
"s1299" 4.95 15.9 56.5 17
"s1300" 1.92 10.6 30.3 8.19
"s1301" 2.52 10.6 10.6 30.7
"s1302" 4.98 16.7 5.22 194
"s1303" 4.11 11.3 32.8 17.2
"s1304" 3.66 15.1 0.495 1360
"s1305" 1.73 12.6 1.51 175
"s1306" 1.48 17.2 17.7 17.5
"s1307" 4.46 5.37 49.4 5.9
"s1308" 1.82 9.47 14.6 14.4
"s1309" 1.7 8.48 4.76 36.8
"s1310" 4.38 7.55 74.2 5.43
"s1311" 3.02 10.1 49.9 7.45
"s1312" 1.42 3.48 22 2.74
"s1313" 2.32 12.2 25 13.9
"s1314" 4.63 19.5 19 57.8
"s1315" 4.55 18.5 55.3 18.6
"s1316" 2.26 12 25.2 13.1
"s1317" 3.28 17.5 37.3 18.7
"s1318" 4.01 15.6 0.906 842
"s1319" 0.217 19.1 24.7 2.03
"s1320" 0.853 1.35 52 0.269
"s1321" 3.23 17.9 43.7 16.1
"s1322" 1.37 3.85 13.1 4.92
"s1323" 0.879 4.29 46.4 0.99
"s1324" 2.71 6.4 26.3 8.03
"s1325" 3.1 4.04 27.9 5.48
"s1326" 0.482 17.6 62.3 1.66
"s1327" 2.05 10.5 20.5 12.8
"s1328" 2.86 18.3 1.57 406
"s1329" 0.371 18.6 24.8 3.4
"s1330" 0.654 3.7 55 0.536
"s1331" 3.26 8.6 24 14.2
"s1332" 1.54 11.8 30.9 7.14
"s1333" 2.39 4.26 19.9 6.25
"s1334" 2.54 18 25.4 22
"s1335" 4.42 11.9 7.52 85.1
"s1336" 4.34 11.2 67.6 8.78
"s1337" 0.264 19.9 39.4 1.63
"s1338" 4.09 13.3 65.3 10.2
"s1339" 4.01 15.2 71.1 10.4
"s1340" 2.53 13.9 65.5 6.56
"s1341" 0.557 2.81 41.3 0.462
"s1342" 4.58 13.7 23.3 32.8
"s1343" 4.88 12.1 19.4 37
"s1344" 0.744 18.1 32.8 5
